cluster,avg_age,avg_spend,avg_price,loan_rate,investment_rate,company_rate,avg_satisfaction,multi_unit_rate,n_clients,segment_name
0,56.77831858407079,1532680.3754867257,409906.0980956244,0.24926253687315633,0.2610619469026549,0.04424778761061947,3.0722713864306783,1.0,678,Global Investors
1,55.717427385892115,1039568.0623236514,307844.9445539419,0.0,0.32918395573997233,0.05255878284923928,2.9861687413554634,1.0,723,Personal-Use Buyers
2,53.33713768115942,1112222.2688405798,322197.1008146135,1.0,0.33152173913043476,0.059782608695652176,2.994565217391304,1.0,552,First-Time Buyers
3,63.325531914893624,2468920.5276595745,336997.50355871674,0.3191489361702128,0.3617021276595745,0.0425531914893617,3.4680851063829787,1.0,47,Luxury Investors
